,ID,aspect,strdist,basarea,basin,curvature,curve_cont,curve_prof,curves,drop,rockdist,flowdir,fos,lith,elev,cohesion,slide,scarpdist,scarps,frictang,slope,slopeleg,woods,specwt
29,30,321.6255,565.6854,65600,1,0.1201477,1.372084,1.492232,0.4698347,71.66666,0,32,0.4242861,5,1079.182,10,0,0.0,0.0,23,39.47408,1871.126,1,19
30,31,340.0158,568.8585,65600,1,1.157532,0.9335693,2.091101,0.4845104,82.5,0,64,1.461458,1,1088.571,50,0,0.0,0.0,45,40.37504,1861.325,1,25
31,32,351.7194,572.7128,65600,1,-2.376892,2.551464,0.1745723,0.4862623,67.5,0,64,1.467951,1,1089.969,50,0,20.0,0.0,45,39.33354,1852.347,1,25
32,33,353.3941,577.2348,65600,1,-3.491333,2.961338,-0.5299947,0.4558153,55.0,0,64,1.464015,1,1090.591,50,0,20.0,0.0,45,35.41561,1844.21,1,25
33,34,350.2365,582.4088,65600,1,-1.177124,1.18129,0.00416584,0.3289818,45.0,0,32,1.491066,1,1092.661,50,0,20.0,0.0,45,27.09351,1836.929,1,25
34,35,339.475,588.2177,65600,1,-1.147003,0.000143618,-1.14686,0.2180486,30.0,0,32,1.646549,1,1093.344,50,0,0.0,1.0,45,16.25259,1830.522,1,25
35,36,337.6108,594.6428,65600,1,0.1211548,-0.6246051,-0.5034503,0.06500032,30.0,0,32,2.366081,1,1096.474,50,0,20.0,0.0,45,3.771885,1824.831,1,25
37,38,323.9799,540.0,65600,1,-0.4408264,0.4499515,0.009125099,0.2588706,35.0,0,64,1.293717,5,1045.172,10,0,63.24555,0.0,23,18.27381,1881.309,1,19
38,39,310.708,540.3702,65600,1,-0.5003357,0.1618018,-0.3385339,0.3099309,48.33333,0,32,0.8015253,5,1051.715,10,0,44.72136,0.0,23,27.67549,1868.111,1,19
39,40,301.9132,541.4794,65600,1,-1.00354,1.111414,0.1078741,0.367055,58.33333,0,32,0.704571,5,1060.826,10,0,28.28427,0.0,23,34.07457,1855.671,1,19
40,41,301.7836,543.3231,65600,1,-1.733643,2.304986,0.571344,0.488705,71.66666,0,32,0.5228711,5,1074.872,10,0,20.0,0.0,23,43.45607,1844.009,1,19
41,42,314.8484,545.8937,65600,1,1.517639,0.5958055,2.113445,0.549322,100.0,0,32,1.447007,1,1095.064,50,0,0.0,0.0,45,47.54074,1833.145,1,25
42,43,337.8573,549.1812,65600,1,1.891815,0.1738067,2.065622,0.5333247,103.3333,0,32,1.430338,1,1108.521,50,0,0.0,0.0,45,47.05419,1823.098,1,25
43,44,354.66,553.1727,65600,1,2.902618,-1.43892,1.463698,0.5235144,120.0,0,64,1.55784,1,1114.24,50,0,0.0,0.0,45,47.34539,1813.887,1,25
44,45,3.960995,557.853,65600,1,3.229797,-1.268773,1.961024,0.5161752,117.5,0,64,1.709835,1,1114.197,50,0,0.0,0.0,45,45.52633,1805.532,1,25
45,46,14.55672,563.2051,65600,1,-1.756897,2.192671,0.4357738,0.4712275,70.0,0,64,1.727009,1,1106.99,50,0,0.0,0.0,45,38.7738,1798.051,1,25
46,47,19.2601,569.21,65600,1,-1.606018,1.981632,0.3756142,0.2996764,37.5,0,64,1.64596,1,1101.287,50,0,20.0,0.0,45,25.13372,1791.46,1,25
47,48,359.0684,575.8472,65600,1,-1.808777,-0.05186585,-1.860643,0.1054931,20.0,0,32,1.742938,1,1099.12,50,0,28.28427,0.0,45,11.53472,1785.601,1,25
49,50,313.2099,520.3845,65600,1,0.03952026,0.9263663,0.9658866,0.1911354,20.0,0,64,1.404433,5,1045.967,10,0,80.0,0.0,23,13.82184,1858.827,1,19
50,51,313.7371,520.0,65600,1,-0.01669312,0.2756576,0.2589644,0.2558325,35.0,0,32,0.9257071,5,1051.556,10,0,60.0,0.0,23,22.3224,1844.583,1,19
51,52,307.629,520.3845,65600,1,0.4274597,-0.2344296,0.1930301,0.2763078,46.66667,0,32,0.8239544,5,1058.56,10,0,40.0,0.0,23,25.41759,1831.085,1,19
52,53,295.7398,521.5362,65600,1,-2.148102,2.343315,0.195213,0.3810182,50.0,0,32,0.7739309,5,1066.289,10,0,20.0,0.0,23,34.51146,1818.354,1,19
53,54,293.0452,523.4501,65600,1,-1.453705,2.708586,1.254882,0.5558214,87.5,0,16,0.5137504,5,1084.184,10,0,0.0,0.0,23,48.76023,1806.41,1,19
54,55,303.0641,526.1179,65600,1,4.163605,-1.606529,2.557076,0.5821613,135.0,0,16,1.423187,1,1111.611,50,0,0.0,0.0,45,50.57124,1795.276,1,25
55,56,327.5768,529.5281,65600,1,6.348022,-3.314822,3.0332,0.4568844,118.3333,0,32,1.428055,1,1128.642,50,0,0.0,0.0,45,42.12904,1784.971,1,25
56,57,353.3408,533.6666,65600,1,4.335938,-3.244251,1.091687,0.3484644,90.0,0,64,1.847159,1,1132.664,50,0,20.0,0.0,45,36.82687,1775.517,1,25
57,58,11.18845,538.5165,65600,1,4.656891,-3.427989,1.228902,0.3253644,87.5,0,64,2.631721,1,1132.047,50,0,0.0,0.0,45,36.34442,1766.934,1,25
58,59,28.48633,544.0588,65600,1,5.653076,-3.238039,2.415037,0.441488,97.5,0,64,2.734996,1,1126.842,50,0,0.0,0.0,45,38.79333,1759.24,1,25
59,60,37.063,550.2726,65600,1,-2.5784,1.96271,-0.6156902,0.463318,52.5,0,64,2.165347,1,1112.117,50,0,0.0,0.0,45,35.91195,1752.456,1,25
60,61,23.29769,557.1356,65600,1,-4.619537,3.088986,-1.530552,0.2625399,17.5,0,64,1.739889,1,1102.936,50,0,20.0,0.0,45,20.76328,1746.418,1,25
61,62,337.5041,564.6238,65600,1,-2.296692,0.7382104,-1.558482,0.1570186,16.66667,0,32,0.5561934,5,1104.24,10,0,40.0,0.0,23,10.54933,1740.967,1,19
63,64,284.6684,501.5974,91600,5,-0.2838745,0.5869165,0.303042,0.1748254,22.5,0,16,1.703395,5,1043.23,10,0,82.46211,0.0,23,12.73263,1837.885,1,19
64,65,298.327,500.3998,91600,5,-0.7442627,0.6939766,-0.05028612,0.2303784,27.5,0,16,0.8876573,5,1048.976,10,0,80.0,0.0,23,19.31927,1822.591,1,19
65,66,303.0663,500.0,91600,5,0.6735229,-0.2599925,0.4135305,0.2481501,37.5,0,16,0.801361,5,1056.591,10,0,60.0,0.0,23,21.71212,1808.027,1,19
66,67,302.73,500.3998,65600,1,-0.07324219,0.1947377,0.1214956,0.2410258,40.0,0,32,0.8167024,5,1062.969,10,0,40.0,0.0,23,23.12261,1794.217,1,19
67,68,290.4344,501.5974,65600,1,-3.663818,2.817786,-0.8460323,0.3954676,40.0,0,32,0.7525719,5,1070.179,10,0,20.0,0.0,23,35.15774,1781.183,1,19
68,69,284.3491,503.5871,65600,1,-2.601715,3.1561,0.5543851,0.5855792,97.5,0,16,0.516407,5,1089.777,10,0,0.0,0.0,23,51.6428,1768.946,1,19
69,70,289.5067,506.3596,65600,1,5.47345,-3.715577,1.757873,0.566579,160.0,0,16,1.418885,1,1121.902,50,0,20.0,0.0,45,50.88199,1757.529,1,25
70,71,312.8836,509.9019,65600,1,2.609161,-1.140033,1.469129,0.3446138,86.66666,0,32,1.420025,1,1136.38,50,0,0.0,0.0,45,33.38026,1746.955,1,25
71,72,355.5558,514.1984,65600,1,-0.3105469,1.452752,1.142205,0.2586285,33.33333,0,32,1.899789,1,1138.381,50,0,20.0,0.0,45,22.40497,1737.245,1,25
72,73,24.19906,519.2302,65600,1,-1.620422,1.595167,-0.02525536,0.2233998,31.66667,0,128,2.628512,1,1135.859,50,0,0.0,0.0,45,21.50507,1728.421,1,25
73,74,39.03558,524.9762,65600,1,1.280487,-0.9782842,0.3022029,0.221762,75.0,0,128,2.459654,1,1133.603,50,0,0.0,0.0,45,27.727,1720.504,1,25
74,75,41.86887,531.4132,65600,1,4.225983,-2.949409,1.276574,0.3941607,86.66666,0,128,2.425168,1,1127.716,50,0,0.0,0.0,45,35.99367,1713.514,1,25
75,76,31.77167,538.5165,65600,1,-2.420502,1.30093,-1.119572,0.4132685,57.5,0,64,2.131526,1,1114.746,50,0,20.0,0.0,45,32.35627,1707.289,1,25
76,77,358.557,546.26,65600,1,-2.52887,0.8486072,-1.680262,0.22407,30.0,0,64,1.94899,1,1110.251,50,0,28.28427,0.0,45,21.22343,1701.664,1,25
77,78,330.8818,554.617,65600,1,-0.01672363,0.5845878,0.5678642,0.1592057,31.66667,0,32,0.7456126,5,1113.276,10,0,44.72136,0.0,23,16.34141,1696.657,1,19
79,80,295.8354,481.6638,91600,5,-1.510376,0.9469087,-0.5634673,0.2421156,27.5,0,16,1.07811,5,1045.138,10,0,63.24555,0.0,23,20.14917,1802.18,1,19
80,81,300.4235,480.4165,91600,5,-0.2116699,-0.01669157,-0.2283615,0.2695871,37.5,0,16,0.7400153,5,1053.092,10,0,72.11102,0.0,23,22.32699,1786.548,1,19
81,82,301.6703,480.0,91600,5,-0.09356689,-0.09795636,-0.1915233,0.2405504,38.33333,0,32,0.7888179,5,1060.171,10,0,60.0,0.0,23,21.90572,1771.654,1,19
82,83,300.7732,480.4165,91600,5,-0.9358521,0.7379114,-0.1979407,0.2736506,35.0,0,32,0.8524538,5,1066.84,10,0,40.0,0.0,23,23.78313,1757.52,1,19
83,84,289.2225,481.6638,91600,5,-1.422943,1.477554,0.05461092,0.3936268,45.0,0,16,0.7505264,5,1076.336,10,0,20.0,0.0,23,34.96674,1744.17,1,19
84,85,279.877,483.7355,91600,5,-4.521149,4.372173,-0.1489756,0.5832579,82.5,0,16,0.5295619,5,1093.251,10,0,0.0,0.0,23,52.513,1731.627,1,19
85,86,282.8294,486.621,91600,5,4.320282,-3.746693,0.5735894,0.5946698,172.5,0,16,1.417417,1,1127.945,50,0,20.0,0.0,45,52.2537,1719.915,1,25
86,87,306.4052,490.306,91600,5,4.712128,-2.554983,2.157144,0.3744881,90.0,0,16,1.41596,1,1146.157,50,0,0.0,0.0,45,32.26206,1709.058,1,25
87,88,358.9596,494.7727,65600,1,3.791534,-1.874741,1.916793,0.2350833,55.0,0,64,2.072969,1,1149.863,50,0,20.0,0.0,45,22.4342,1699.079,1,25
88,89,26.99877,500.0,65600,1,1.595703,-0.7624216,0.8332815,0.2952718,50.0,0,64,5.032239,1,1145.888,50,0,0.0,0.0,45,24.09506,1690.002,1,25
89,90,38.2975,505.9644,65600,1,-1.427124,0.9730574,-0.4540666,0.2843227,38.33333,0,128,3.314973,1,1138.871,50,0,0.0,0.0,45,24.467,1681.85,1,25
90,91,42.47742,512.6402,65600,1,-0.350647,-0.1444936,-0.4951405,0.2603516,65.0,0,128,2.451653,1,1133.494,50,0,0.0,0.0,45,28.22338,1674.643,1,25
91,92,38.46506,520.0,65600,1,2.160126,-1.383419,0.7767066,0.3584492,65.0,0,64,2.261516,1,1127.764,50,0,0.0,0.0,45,31.2948,1668.218,1,25
92,93,20.26023,528.0151,65600,1,-2.350677,0.9341597,-1.416518,0.2782763,42.5,0,64,2.098696,1,1118.857,50,0,20.0,0.0,45,24.00671,1662.409,1,25
93,94,327.3622,536.6563,65600,1,-0.5475769,-0.3076214,-0.8551984,0.184002,33.33333,0,32,0.710389,5,1119.702,10,0,40.0,0.0,23,19.7322,1657.235,1,19
94,95,303.494,545.8937,65600,1,0.4993286,-0.5359779,-0.03664929,0.1275113,45.0,0,32,1.069307,5,1126.355,10,0,56.56854,0.0,23,12.50844,1652.713,1,19
96,97,299.5042,463.8965,91600,5,-1.66095,1.194885,-0.4660648,0.2360355,20.0,0,16,1.114618,5,1042.129,10,0,40.0,0.0,23,16.58584,1783.393,1,19
97,98,300.2498,461.7359,91600,5,0.9401245,-0.3253075,0.614817,0.2849689,42.5,0,16,0.746688,5,1051.1,10,0,44.72136,0.0,23,24.18966,1766.695,1,19
98,99,303.4739,460.4346,91600,5,1.262817,-0.6747853,0.5880321,0.2434374,48.33333,0,32,0.7489855,5,1058.93,10,0,56.56854,0.0,23,22.68382,1750.715,1,19
99,100,302.1821,460.0,91600,5,-0.1990662,0.1122208,-0.08684532,0.2287481,40.0,0,32,0.8565311,5,1064.534,10,0,56.56854,0.0,23,20.98366,1735.477,1,19
100,101,295.7266,460.4346,91600,5,0.129303,0.2742496,0.4035526,0.2649599,40.0,0,32,0.9416047,5,1071.626,10,0,40.0,0.0,23,23.84841,1721.007,1,19
101,102,286.6666,461.7359,91600,5,-1.264771,1.639762,0.3749916,0.3702458,48.33333,0,32,0.892226,5,1080.766,10,0,20.0,0.0,23,34.05382,1707.328,1,19
102,103,279.0805,463.8965,91600,5,-4.93158,4.911096,-0.02048364,0.588077,80.0,0,16,0.5447121,5,1097.031,10,0,0.0,0.0,23,52.89884,1694.465,1,19
103,104,279.9521,466.9047,91600,5,4.848358,-4.368165,0.4801935,0.6012071,180.0,0,16,1.415588,1,1133.189,50,0,20.0,0.0,45,53.38272,1682.444,1,25
104,105,292.8353,470.7441,91600,5,5.32251,-3.995765,1.326745,0.3133318,90.0,0,16,1.417579,1,1151.593,50,0,0.0,0.0,45,29.13167,1671.291,1,25
105,106,352.9076,475.3946,65600,1,1.891113,-0.918735,0.9723783,0.06496525,26.66667,0,128,2.294601,1,1153.859,50,0,0.0,0.0,45,11.4644,1661.03,1,25
106,107,31.77702,480.8326,65600,1,2.01239,-1.717925,0.294465,0.1580393,48.33333,0,128,8.848942,1,1152.578,50,0,0.0,0.0,45,17.57816,1651.686,1,25
107,108,37.04494,487.0318,65600,1,1.683899,-1.344112,0.3397866,0.2788333,51.66667,0,128,5.568656,1,1148.207,50,0,0.0,0.0,45,24.18028,1643.284,1,25
108,109,35.86839,493.9636,65600,1,-0.6378479,0.1443762,-0.4934717,0.303474,46.66667,0,128,3.118163,1,1141.026,50,0,0.0,0.0,45,26.41516,1635.847,1,25
109,110,39.8738,501.5974,65600,1,0.04428101,0.005303496,0.0495845,0.323815,56.66667,0,128,2.375665,1,1135.319,50,0,0.0,0.0,45,28.72463,1629.21,1,25
110,111,37.33666,509.9019,65600,1,-1.243561,0.9745213,-0.2690395,0.320109,40.0,0,64,2.056413,1,1127.113,50,0,20.0,0.0,45,25.20737,1623.205,1,25
111,112,337.897,518.8448,65600,1,-4.361298,0.9640867,-3.397211,0.1662578,12.5,0,64,1.988168,1,1122.509,50,0,28.28427,0.0,45,16.72243,1617.853,1,25
112,113,314.2576,528.3938,65600,1,0.4231873,-0.2530445,0.1701428,0.2740527,42.5,0,16,0.9428848,5,1131.011,10,0,44.72136,0.0,23,19.0735,1613.173,1,19
114,115,315.4641,444.0721,91600,5,-3.049927,1.793662,-1.256265,0.3297495,31.66667,0,32,0.4441491,5,1047.14,10,0,20.0,0.0,23,23.97188,1748.509,1,19
115,116,305.996,441.8145,91600,5,-1.930389,0.2222266,-1.708163,0.3017187,43.33333,0,32,0.4306881,5,1054.442,10,0,28.28427,0.0,23,23.89782,1731.446,1,19
116,117,301.9295,440.4543,91600,5,-0.2277832,-0.3951963,-0.6229795,0.2423404,36.66667,0,32,0.5064926,5,1061.942,10,0,40.0,0.0,23,20.88346,1715.105,1,19
117,118,300.5562,440.0,91600,5,-0.1656494,-0.1709747,-0.3366241,0.2242117,31.66667,0,32,0.6794398,5,1068.205,10,0,40.0,0.0,23,18.99255,1699.512,1,19
118,119,287.3952,440.4543,91600,5,-1.085419,0.459061,-0.6263577,0.2393318,31.66667,0,32,0.8684136,5,1073.848,10,0,28.28427,0.0,23,20.04575,1684.691,1,19
119,120,275.1135,441.8145,91600,5,-0.6141663,2.065832,1.451666,0.3759635,45.0,0,16,1.022952,5,1083.13,10,0,20.0,0.0,23,33.06509,1670.67,1,19
120,121,273.7642,444.0721,91600,5,-3.445038,4.669583,1.224546,0.5925061,87.5,0,16,0.5896301,5,1100.643,10,0,0.0,0.0,23,53.53644,1657.474,1,19
121,122,274.3611,447.2136,91600,5,6.341034,-5.255152,1.085882,0.5784983,180.0,0,16,1.415923,1,1136.792,50,0,20.0,0.0,45,52.85248,1645.13,1,25
122,123,278.9053,451.2206,91600,5,2.923584,-3.187276,-0.2636924,0.2580414,75.0,0,16,1.415757,1,1151.878,50,0,20.0,0.0,45,25.99461,1633.665,1,25
123,124,327.0489,456.0702,91600,5,-1.131073,1.475572,0.344499,0.1018209,7.5,0,16,1.947517,1,1153.839,50,0,0.0,0.0,45,6.48887,1623.107,1,25
124,125,18.48734,461.7359,65600,1,-0.7055969,0.9711944,0.2655976,0.1170158,20.0,0,128,2.907493,1,1154.306,50,0,0.0,0.0,45,10.3465,1613.482,1,25
125,126,30.11048,468.188,65600,1,0.5642395,-0.3003713,0.2638682,0.1963897,43.33333,0,128,2.687868,1,1153.619,50,0,20.0,0.0,45,18.73411,1604.816,1,25
126,127,31.03368,475.3946,65600,1,0.1296997,-0.3868803,-0.2571806,0.283817,50.0,0,128,2.555462,1,1149.637,50,0,0.0,0.0,45,25.02294,1597.135,1,25
127,128,34.54678,483.3218,65600,1,1.19397,-0.7312229,0.4627468,0.3316711,63.33333,0,128,2.315815,1,1145.196,50,0,0.0,0.0,45,29.40061,1590.273,1,25
128,129,37.23002,491.935,65600,1,-1.040833,0.6494444,-0.3913881,0.3777411,50.0,0,128,2.055442,1,1136.742,50,0,0.0,0.0,45,30.57194,1584.059,1,25
129,130,6.674237,501.1986,65600,1,-3.870331,1.195827,-2.674504,0.2685919,35.0,0,64,1.809428,1,1129.656,50,0,20.0,0.0,45,18.96672,1578.516,1,25
130,131,302.5694,511.0773,65600,1,0.9102478,-1.026636,-0.1163882,0.1593507,41.66667,0,32,1.954422,1,1134.529,50,0,28.28427,0.0,45,15.33144,1573.667,1,25
132,133,344.927,424.2641,91600,5,-2.365906,2.683625,0.3177193,0.5282137,70.0,0,64,0.4133191,5,1061.6,10,0,0.0,0.0,23,42.69509,1713.888,1,19
133,134,345.59,421.9005,91600,5,-2.059631,1.960046,-0.09958523,0.4329374,63.33333,0,32,0.3959526,5,1065.307,10,0,20.0,0.0,23,35.6917,1696.449,1,19
134,135,335.9675,420.4759,91600,5,-3.200165,1.102748,-2.097417,0.3007174,43.33333,0,32,0.4445785,5,1067.104,10,0,20.0,0.0,23,26.36848,1679.735,1,19
135,136,321.6172,420.0,91600,5,0.05291748,-0.4573557,-0.4044382,0.2354842,38.33333,0,32,0.5719407,5,1073.156,10,0,20.0,0.0,23,20.59686,1663.773,1,19
136,137,308.4581,420.4759,91600,5,-0.787384,0.1886934,-0.5986906,0.1809948,30.0,0,32,0.7680083,5,1076.774,10,0,20.0,0.0,23,17.48063,1648.59,1,19
137,138,277.7888,421.9005,91600,5,-7.144562,3.825118,-3.319444,0.3343164,20.0,0,32,0.805947,5,1079.721,10,0,0.0,0.0,23,30.46539,1634.212,1,19
138,139,269.1143,424.2641,91600,5,-4.462219,4.282329,-0.1798906,0.6072732,97.5,0,16,0.6124401,5,1099.398,10,0,0.0,0.0,23,53.39746,1620.667,1,19
139,140,269.8768,427.5512,91600,5,5.290527,-4.85797,0.4325576,0.5957935,182.5,0,16,1.430609,1,1136.096,50,0,20.0,0.0,45,53.46441,1607.985,1,25
140,141,285.3136,431.7407,91600,5,1.681061,-1.586239,0.0948221,0.3560619,85.0,0,16,1.414717,1,1153.592,50,0,20.0,0.0,45,31.32276,1596.194,1,25
141,142,335.7693,436.8066,91600,5,-0.1436157,1.825846,1.68223,0.2915776,30.0,0,16,1.556376,1,1159.838,50,0,0.0,0.0,45,20.15899,1585.323,1,25
142,143,0.2342628,442.7189,65600,1,-2.362244,2.39054,0.02829611,0.3074647,27.5,0,64,1.882622,1,1160.011,50,0,0.0,0.0,45,21.90615,1575.401,1,25
143,144,12.32096,449.4441,65600,1,-0.8895569,1.373267,0.4837097,0.2755783,36.66667,0,128,1.821398,1,1160.068,50,0,20.0,0.0,45,23.12208,1566.456,1,25
144,145,22.61312,456.9464,65600,1,-0.1155396,0.4997194,0.3841799,0.3001045,45.0,0,128,1.834449,1,1158.187,50,0,20.0,0.0,45,25.73252,1558.516,1,25
145,146,26.37495,465.1881,65600,1,0.08267212,-0.06750065,0.01517147,0.3100497,61.66667,0,128,1.91023,1,1154.31,50,0,0.0,0.0,45,29.41656,1551.413,1,25
146,147,29.00523,474.1308,65600,1,1.197662,-0.8903162,0.3073461,0.384075,68.33334,0,128,2.00086,1,1149.165,50,0,0.0,0.0,45,34.24307,1544.976,1,25
147,148,22.6004,483.7355,65600,1,-2.277069,1.729313,-0.5477566,0.4200471,52.5,0,64,1.982679,1,1140.327,50,0,0.0,0.0,45,31.19219,1539.23,1,25
148,149,5.26941,493.9636,65600,1,-5.609222,4.723933,-0.8852894,0.2587317,16.66667,0,32,1.853316,1,1134.558,50,0,20.0,0.0,45,16.8273,1534.198,1,25
149,150,11.53059,504.7772,65600,1,-4.074738,0.8791563,-3.195581,0.09702317,2.5,0,16,0.5560887,5,1134.937,10,0,28.28427,0.0,23,4.022432,1529.902,1,19
152,153,343.6259,417.6123,91600,5,-5.0,5.719381,0.719381,0.3586136,91.66666,0,128,1.546968,1,1076.3,50,0,0.0,0.0,45,34.05141,1723.411,1,25
153,154,359.7247,412.3106,91600,5,3.202209,-2.326857,0.8753524,0.571952,152.5,0,64,1.481062,1,1081.273,50,0,20.0,0.0,45,35.68365,1717.283,1,25
154,155,359.7036,407.9216,91600,5,4.618042,-4.321796,0.2962455,0.5554631,160.0,0,64,1.558092,1,1086.041,50,0,20.0,0.0,45,44.85471,1698.078,1,25
155,156,354.9283,404.475,91600,5,5.250427,-3.664476,1.585951,0.5074,137.5,0,64,1.674448,1,1089.376,50,0,0.0,0.0,45,47.38619,1679.55,1,25
156,157,5.589045,401.995,91600,5,2.80011,-1.581743,1.218367,0.4518288,105.0,0,64,1.845824,1,1086.32,50,0,0.0,0.0,45,41.16109,1661.723,1,25
157,158,3.48596,400.4997,91600,5,-0.4310303,-0.1808577,-0.6118879,0.3538639,67.5,0,64,1.883066,1,1080.813,50,0,0.0,0.0,45,31.43548,1644.624,1,25
158,159,344.0619,400.0,91600,5,-1.172882,0.0655864,-1.107296,0.2368302,46.66667,0,32,0.5851597,5,1080.331,10,0,0.0,0.0,23,23.302,1628.28,1,19
159,160,330.188,400.4997,91600,5,-0.5638733,0.3943093,-0.1695639,0.2463348,35.0,0,32,0.6843563,5,1083.52,10,0,0.0,0.0,23,22.19935,1612.719,1,19
160,161,303.6426,401.995,91600,5,-1.909454,0.5196572,-1.389797,0.3438239,40.0,0,64,0.698831,5,1088.159,10,0,0.0,0.0,23,29.3038,1597.97,1,19
161,162,277.307,404.475,91600,5,-8.328827,5.37573,-2.953097,0.545275,66.66666,0,32,0.5623348,5,1098.983,10,0,20.0,0.0,23,50.53577,1584.063,1,19
162,163,273.7438,407.9216,91600,5,0.3951721,-2.002416,-1.607243,0.6298375,170.0,0,16,0.3843918,5,1133.438,10,0,28.28427,0.0,23,55.45322,1571.026,1,19
163,164,289.2967,412.3106,91600,5,3.110016,-2.131428,0.9785877,0.5109966,130.0,0,16,1.418815,1,1159.832,50,0,20.0,0.0,45,42.1931,1558.893,1,25
164,165,330.6081,417.6123,91600,5,2.841187,-0.1597332,2.681453,0.3926357,66.66666,0,32,1.450797,1,1172.484,50,0,0.0,0.0,45,32.6167,1547.692,1,25
165,166,358.4628,423.7924,65600,1,2.042389,-0.5343736,1.508015,0.3934378,75.0,0,64,1.843019,1,1175.28,50,0,0.0,0.0,45,33.96333,1537.456,1,25
166,167,9.741977,430.8132,65600,1,-0.9940186,0.9465611,-0.04745744,0.3896814,57.5,0,64,2.089016,1,1172.013,50,0,20.0,0.0,45,33.6648,1528.215,1,25
167,168,18.49814,438.6342,65600,1,-0.14151,0.7559575,0.6144475,0.3642901,55.0,0,64,1.944146,1,1169.196,50,0,20.0,0.0,45,32.05087,1520.0,1,25
